show_id,type,title,director,country,date_added,release_year,rating,duration,genre,language,imgDB_ratings,votes,budget_million,revenue_million,popularity_score,seasons,Column1
s1,Movie,Stranger Things,Director A,Australia,2024-04-25,2000,TV-G,110 min,Drama,English,5.6,781646,45.59,52.16,56.9,0,average
s2,Movie,The Crown,Director B,Germany,2018-08-10,2006,PG,139 min,Mystery,English,8.3,740392,109.16,304.43,69.1,0,good
s3,Movie,Money Heist,Director A,Spain,2020-09-27,2022,TV-PG,118 min,Horror,French,8.5,112175,51.46,74.09,58.5,0,good
s4,Movie,Dark,Director E,Spain,2021-02-24,2023,R,143 min,Adventure,Hindi,5.5,312419,24.22,101.65,54.4,0,average
s5,Movie,Wednesday,Director D,Mexico,2018-07-22,2021,TV-PG,173 min,Action,German,6.2,110907,53.51,48.76,47.9,0,good
s6,TV Show,Bridgerton,Director C,Mexico,2023-07-08,2006,R,42 min,Animation,German,8.3,176339,75.05,113.98,66.9,2,good
s7,Movie,The Witcher,Director C,South Korea,2025-03-20,2007,G,79 min,Documentary,Italian,5.5,599731,145.3,314.51,55.7,0,average
s8,Movie,Narcos,Director D,Spain,2017-07-25,2008,R,106 min,Action,Italian,8.4,454245,134.61,363.72,79.4,0,good
s9,Movie,Black Mirror,Director D,Australia,2016-07-11,2024,G,89 min,Fantasy,French,8.1,630380,29.21,35.75,54.5,0,good
s10,Movie,Lucifer,Director C,France,2024-01-31,2021,PG-13,89 min,Sci-Fi,English,6.3,677097,123.34,332.3,47.6,0,good
s11,TV Show,You,Director C,United Kingdom,2024-07-17,2016,TV-MA,36 min,Horror,German,7.9,643551,105.11,215.84,56.6,2,good
s12,TV Show,Ozark,Director D,India,2017-04-03,2000,PG-13,48 min,Action,Italian,7.6,87582,32.54,58.95,51.1,5,good
s13,Movie,The Umbrella Academy,Director F,Canada,2021-12-01,2008,TV-G,152 min,Animation,German,7.5,770388,77.32,110.26,66.6,0,good
s14,TV Show,Squid Game,Director A,India,2021-01-23,2016,TV-MA,32 min,Thriller,Hindi,7.7,246292,30.84,68.46,65.5,4,good
s15,Movie,Breaking Bad,Director E,Australia,2016-10-17,2010,G,140 min,Thriller,Italian,6.1,143739,44.36,142.35,56.3,0,good
s16,TV Show,Peaky Blinders,Director F,India,2017-01-21,2006,TV-MA,31 min,Documentary,German,8.9,61802,45.74,115.57,77.4,7,excellent
s17,Movie,The Queen's Gambit,Director A,Germany,2018-02-23,2007,TV-14,99 min,Drama,English,6,490100,97.46,111.76,42.7,0,average
s18,Movie,Sex Education,Director B,France,2025-07-08,2024,TV-MA,105 min,Documentary,French,6.1,425521,31.6,78.81,61.2,0,good
s19,TV Show,Elite,Director A,Italy,2020-09-28,2009,TV-PG,69 min,Drama,English,9.4,612314,22.8,46.65,83.1,8,excellent
s20,TV Show,Manifest,Director F,South Korea,2025-07-24,2016,TV-G,58 min,Comedy,Korean,8.9,76849,11.54,33.85,75.3,3,excellent
s21,Movie,The Night Agent,Director F,Spain,2016-12-01,2019,R,128 min,Crime,Japanese,6.6,278432,119.01,333.75,46.3,0,good
s22,Movie,The Recruit,Director E,India,2023-03-28,2021,TV-14,113 min,Fantasy,Korean,9.2,14767,83.39,352.17,74,0,excellent
s23,TV Show,Lupin,Director F,Japan,2019-11-30,2004,TV-MA,29 min,Animation,French,8.8,742715,47.5,69.47,66.6,4,excellent
s24,Movie,Arcane,Director F,Spain,2018-12-19,2004,R,89 min,Animation,French,5.9,300442,160.37,560.56,51.5,0,average
s25,TV Show,The Lincoln Lawyer,Director F,Canada,2025-06-27,2008,PG-13,28 min,Adventure,Italian,5.4,354759,77.94,333.84,52,2,average
s26,TV Show,Extraction,Director E,Japan,2016-02-09,2017,PG-13,32 min,Documentary,Spanish,5.8,42778,113.68,420.88,56.9,2,average
s27,Movie,Bird Box,Director A,Spain,2020-02-02,2009,TV-G,176 min,Horror,Spanish,6.7,720198,175.05,132.27,48.3,0,good
s28,Movie,Red Notice,Director D,Mexico,2024-12-20,2005,R,178 min,Crime,Spanish,6,353321,33.52,74.01,57.1,0,average
s29,Movie,Enola Holmes,Director B,South Korea,2025-10-12,2012,TV-MA,79 min,Animation,Korean,8.7,487662,154.83,227.21,67,0,excellent
s30,TV Show,The Gray Man,Director A,India,2019-02-15,2010,PG,29 min,Action,French,8.1,889642,45.38,133.39,67.3,5,good
s31,Movie,Glass Onion,Director E,South Korea,2022-09-09,2003,PG,130 min,Drama,Japanese,7.1,541265,63.53,232.97,47.9,0,good
s32,Movie,Don't Look Up,Director A,Mexico,2025-01-16,2016,TV-PG,143 min,Horror,German,8.4,211606,124.26,530.22,65,0,good
s33,Movie,The Adam Project,Director B,France,2019-05-15,2023,TV-G,139 min,Animation,Spanish,6.9,315016,57.05,125.1,58.2,0,good
s34,TV Show,Damsel,Director D,Germany,2022-02-22,2012,R,25 min,Fantasy,Italian,7.7,691508,38,99.01,58.3,5,good
s35,Movie,The Platform,Director B,Mexico,2016-12-13,2021,PG,111 min,Thriller,Korean,6.6,863179,93.75,287.67,66.5,0,good
s36,Movie,Army of the Dead,Director F,Australia,2016-07-08,2000,R,106 min,Adventure,Japanese,8.5,482538,177.14,528.58,67.2,0,good
s37,TV Show,The Irishman,Director B,Italy,2018-09-26,2012,G,34 min,Drama,Korean,9,821232,107.66,475.2,71.5,1,excellent
s38,Movie,Roma,Director D,Australia,2017-06-30,2014,TV-G,177 min,Family,Italian,7.6,337711,84.71,226.3,74.5,0,good
s39,Movie,The Social Network,Director E,Germany,2025-08-29,2023,R,135 min,Crime,Italian,8.8,295782,82.11,290.01,79.1,0,excellent
s40,Movie,The Intern,Director D,Italy,2019-03-16,2022,PG-13,105 min,Adventure,Korean,7.5,150095,50.37,93.03,52.1,0,good
s41,Movie,The Karate Kid,Director E,Italy,2020-07-27,2013,TV-MA,117 min,Family,Japanese,6.1,445552,98.58,219,47.3,0,good
s42,TV Show,The Kissing Booth,Director E,South Korea,2019-12-11,2000,G,44 min,Thriller,French,7,788826,103.15,495.57,63.8,7,good
s43,TV Show,To All the Boys I've Loved Before,Director B,Australia,2016-04-28,2015,TV-MA,49 min,Documentary,English,8.3,886334,81.92,340.15,67,6,good
s44,Movie,Murder Mystery,Director C,Spain,2020-10-21,2020,TV-G,92 min,Crime,Japanese,6.3,348254,156.3,204.56,44.1,0,good
s45,TV Show,The Old Guard,Director A,United States,2021-04-10,2002,R,26 min,Thriller,English,8,824182,119.99,272.36,77.8,1,good
s46,Movie,6 Underground,Director C,United Kingdom,2017-06-01,2007,TV-14,135 min,Mystery,Spanish,6.1,738442,121.16,339.19,43.7,0,good
s47,TV Show,The Sea Beast,Director E,Italy,2022-06-28,2003,R,26 min,Comedy,French,6.8,754747,71.22,328.59,47.8,5,good
s48,Movie,Nimona,Director C,United States,2022-05-07,2025,TV-G,175 min,Family,Italian,8,77306,9.31,24.93,65.7,0,good
s49,Movie,Klaus,Director F,Canada,2020-01-23,2013,G,156 min,Sci-Fi,Japanese,5.9,189692,160.7,384.55,55,0,average
s50,TV Show,Over the Moon,Director D,Spain,2025-07-20,2010,TV-MA,40 min,Sci-Fi,German,8.4,602530,37.08,99.87,71.7,2,good
s51,Movie,The Mitchells vs. the Machines,Director E,United States,2018-05-18,2015,R,120 min,Comedy,Korean,9,740244,144.01,277.55,83.8,0,excellent
s52,TV Show,The Sea Beast 52,Director D,Italy,2022-03-24,2015,R,40 min,Crime,German,8.6,102573,79.28,226.86,64.7,8,excellent
s53,TV Show,Glass Onion 53,Director B,Spain,2024-05-13,2013,TV-14,60 min,Adventure,Spanish,6.5,246736,45.46,123,43.3,6,good
s54,Movie,The Umbrella Academy 54,Director B,Canada,2021-06-06,2023,R,110 min,Romance,Spanish,7.5,301745,130.98,577.46,74.5,0,good
s55,Movie,Manifest 55,Director F,Germany,2021-12-27,2022,TV-14,91 min,Family,English,7.6,736295,50.83,223.64,74.3,0,good
s56,TV Show,The Irishman 56,Director A,France,2021-05-14,2015,G,53 min,Comedy,English,9.2,505935,26.2,26.61,64.7,6,excellent
s57,Movie,Lucifer 57,Director E,South Korea,2022-04-24,2025,TV-G,113 min,Sci-Fi,Italian,7.6,441390,17.16,26.91,65.2,0,good
s58,TV Show,Manifest 58,Director C,Mexico,2022-05-18,2009,TV-14,64 min,Action,Korean,9.3,222881,75.11,293.56,79.3,1,excellent
s59,Movie,Ozark 59,Director C,Italy,2016-01-11,2005,G,127 min,Comedy,Korean,6.5,247720,82.19,239.65,47.8,0,good
s60,Movie,The Queen's Gambit 60,Director B,Canada,2017-04-15,2013,PG,144 min,Sci-Fi,Hindi,6.3,154145,42.02,49.63,40.3,0,good
s61,TV Show,The Gray Man 61,Director C,United States,2020-07-06,2022,TV-14,42 min,Thriller,English,9,775214,55.34,183.27,68.7,8,excellent
s62,TV Show,Klaus 62,Director D,India,2016-06-13,2018,G,36 min,Romance,Japanese,6.4,618762,64.68,171.88,51,8,good
s63,TV Show,The Recruit 63,Director E,United States,2017-03-04,2021,G,35 min,Comedy,German,8,424904,52.34,150.79,74,6,good
s64,TV Show,The Queen's Gambit 64,Director E,Germany,2024-08-30,2003,G,50 min,Mystery,English,7,201694,80.63,248.25,58,1,good
s65,TV Show,Squid Game 65,Director B,Italy,2017-06-20,2017,PG-13,43 min,Crime,English,5.3,665626,106.3,301.44,46.8,8,average
s66,TV Show,Army of the Dead 66,Director F,Canada,2018-07-09,2002,TV-G,32 min,Family,Italian,5.9,756413,113.91,401.01,43.1,8,average
s67,Movie,Glass Onion 67,Director A,Canada,2022-03-07,2014,TV-G,93 min,Romance,French,7.4,927040,70.28,294.84,50.9,0,good
